Zone_ID,Latitude,Longitude,Average_NDVI,Severity,Spray_Rate,Spray_Duration,Pump_PWM
1,38.843551182371385,-7.601942371020544,0.37282268,MODERATE,60,3,180
1,38.843551182371385,-7.60161302888666,0.37282268,MODERATE,60,3,180
1,38.843571182371385,-7.60161302888666,0.37282268,MODERATE,60,3,180
1,38.843571182371385,-7.601942371020544,0.37282268,MODERATE,60,3,180
1,38.84359118237138,-7.601942371020544,0.37282268,MODERATE,60,3,180
1,38.84359118237138,-7.60161302888666,0.37282268,MODERATE,60,3,180
1,38.84361118237138,-7.60161302888666,0.37282268,MODERATE,60,3,180
1,38.84361118237138,-7.601942371020544,0.37282268,MODERATE,60,3,180
1,38.84363118237138,-7.601942371020544,0.37282268,MODERATE,60,3,180
1,38.84363118237138,-7.60161302888666,0.37282268,MODERATE,60,3,180
1,38.84365118237138,-7.60161302888666,0.37282268,MODERATE,60,3,180
1,38.84365118237138,-7.601942371020544,0.37282268,MODERATE,60,3,180
1,38.84367118237138,-7.601942371020544,0.37282268,MODERATE,60,3,180
1,38.84367118237138,-7.60161302888666,0.37282268,MODERATE,60,3,180
