Zone_ID,Latitude,Longitude,Average_NDVI,Severity
1,38.843551182371385,-7.601942371020544,0.37282268,MODERATE
1,38.843551182371385,-7.60161302888666,0.37282268,MODERATE
1,38.843571182371385,-7.60161302888666,0.37282268,MODERATE
1,38.843571182371385,-7.601942371020544,0.37282268,MODERATE
1,38.843591182371384,-7.601942371020544,0.37282268,MODERATE
1,38.843591182371384,-7.60161302888666,0.37282268,MODERATE
1,38.84361118237138,-7.60161302888666,0.37282268,MODERATE
1,38.84361118237138,-7.601942371020544,0.37282268,MODERATE
1,38.84363118237138,-7.601942371020544,0.37282268,MODERATE
1,38.84363118237138,-7.60161302888666,0.37282268,MODERATE
1,38.84365118237138,-7.60161302888666,0.37282268,MODERATE
1,38.84365118237138,-7.601942371020544,0.37282268,MODERATE
1,38.84367118237138,-7.601942371020544,0.37282268,MODERATE
1,38.84367118237138,-7.60161302888666,0.37282268,MODERATE
2,38.84039472520489,-7.630991966152739,0.3115037472222222,MODERATE
2,38.84039472520489,-7.63064806601203,0.3115037472222222,MODERATE
2,38.84041472520489,-7.63064806601203,0.3115037472222222,MODERATE
2,38.84041472520489,-7.630991966152739,0.3115037472222222,MODERATE
2,38.84043472520489,-7.630991966152739,0.3115037472222222,MODERATE
2,38.84043472520489,-7.63064806601203,0.3115037472222222,MODERATE
2,38.840454725204886,-7.63064806601203,0.3115037472222222,MODERATE
2,38.840454725204886,-7.630991966152739,0.3115037472222222,MODERATE
2,38.840474725204885,-7.630991966152739,0.3115037472222222,MODERATE
2,38.840474725204885,-7.63064806601203,0.3115037472222222,MODERATE
2,38.840494725204884,-7.63064806601203,0.3115037472222222,MODERATE
2,38.840494725204884,-7.630991966152739,0.3115037472222222,MODERATE
2,38.84051472520488,-7.630991966152739,0.3115037472222222,MODERATE
2,38.84051472520488,-7.63064806601203,0.3115037472222222,MODERATE
2,38.84053472520488,-7.63064806601203,0.3115037472222222,MODERATE
2,38.84053472520488,-7.630991966152739,0.3115037472222222,MODERATE
